1713082114;Product_1;$414
1713082115;Product_2;$940
1713082116;Product_3;$374
1713082117;Product_4;$1056
1713082118;Product_5;$1137
1713082119;Product_6;$1097
1713082120;Product_7;$37
1713082121;Product_8;$308
1713082122;Product_9;$552
1713082123;Product_10;$768
1713082124;Product_11;$321
1713082125;Product_12;$310
1713082126;Product_13;$763
1713082127;Product_14;$970
1713082128;Product_15;$966
1713082129;Product_16;$1060
1713082130;Product_17;$11
1713082131;Product_18;$601
1713082132;Product_19;$99
1713082133;Product_20;$405
1713082134;Product_21;$111
1713082135;Product_22;$705
1713082136;Product_23;$908
1713082137;Product_24;$521
1713082138;Product_25;$550
1713082139;Product_26;$1005
1713082140;Product_27;$1199
1713082141;Product_28;$826
1713082142;Product_29;$23
1713082143;Product_30;$903
1713082144;Product_31;$652
1713082145;Product_32;$329
1713082146;Product_33;$489
1713082147;Product_34;$177
1713082148;Product_35;$356
1713082149;Product_36;$468
1713082150;Product_37;$190
1713082151;Product_38;$993
1713082152;Product_39;$222
1713082153;Product_40;$29
1713082154;Product_41;$1215
1713082155;Product_42;$968
1713082156;Product_43;$1121
1713082157;Product_44;$873
1713082158;Product_45;$389
1713082159;Product_46;$151
1713082160;Product_47;$463
1713082161;Product_48;$38
1713082162;Product_49;$501
1713082163;Product_50;$658
1713082164;Product_51;$700
1713082165;Product_52;$950
1713082166;Product_53;$283
1713082167;Product_54;$858
1713082168;Product_55;$208
1713082169;Product_56;$846
1713082170;Product_57;$661
1713082171;Product_58;$451
1713082172;Product_59;$394
1713082173;Product_60;$288
1713082174;Product_61;$145
1713082175;Product_62;$1039
1713082176;Product_63;$1232
1713082177;Product_64;$662
1713082178;Product_65;$253
1713082179;Product_66;$423
1713082180;Product_67;$856
1713082181;Product_68;$328
1713082182;Product_69;$846
1713082183;Product_70;$764
1713082184;Product_71;$1217
1713082185;Product_72;$1048
1713082186;Product_73;$371
1713082187;Product_74;$1097
1713082188;Product_75;$517
1713082189;Product_76;$724
1713082190;Product_77;$179
1713082191;Product_78;$103
1713082192;Product_79;$752
1713082193;Product_80;$1220
1713082194;Product_81;$415
1713082195;Product_82;$845
1713082196;Product_83;$793
1713082197;Product_84;$734
1713082198;Product_85;$1107
1713082199;Product_86;$567
1713082200;Product_87;$488
1713082201;Product_88;$208
1713082202;Product_89;$277
1713082203;Product_90;$359
1713082204;Product_91;$423
1713082205;Product_92;$757
1713082206;Product_93;$107
1713082207;Product_94;$881
1713082208;Product_95;$198
1713082209;Product_96;$541
1713082210;Product_97;$766
1713082211;Product_98;$1004
1713082212;Product_99;$1283
1713082213;Product_100;$700
1713082214;Product_101;$603
1713082215;Product_102;$1044
1713082216;Product_103;$0
1713082217;Product_104;$801
1713082218;Product_105;$338
1713082219;Product_106;$1006
1713082220;Product_107;$364
1713082221;Product_108;$596
1713082222;Product_109;$175
1713082223;Product_110;$106
1713082224;Product_111;$325
1713082225;Product_112;$673
1713082226;Product_113;$581
1713082227;Product_114;$617
1713082228;Product_115;$966
1713082229;Product_116;$687
1713082230;Product_117;$414
1713082231;Product_118;$1277
1713082232;Product_119;$206
1713082233;Product_120;$722
1713082234;Product_121;$625
1713082235;Product_122;$726
1713082236;Product_123;$137
1713082237;Product_124;$485
1713082238;Product_125;$226
1713082239;Product_126;$35
1713082240;Product_127;$923
1713082241;Product_128;$1169
1713082242;Product_129;$1020
1713082243;Product_130;$1137
1713082244;Product_131;$1068
1713082245;Product_132;$1187
1713082246;Product_133;$982
1713082247;Product_134;$1079
1713082248;Product_135;$58
1713082249;Product_136;$237
1713082250;Product_137;$572
1713082251;Product_138;$647
1713082252;Product_139;$1262
1713082253;Product_140;$577
1713082254;Product_141;$814
1713082255;Product_142;$233
1713082256;Product_143;$1030
1713082257;Product_144;$1145
1713082258;Product_145;$157
